 num     #instances         #bytes  class name (module)
 221:            33           1584  java.time.temporal.ValueRange (java.base@16.0.2)
 222:            49           1568  com.google.inject.internal.SingleFieldInjector
 223:            28           1568  org.apache.maven.model.Site
 224:            97           1552  java.util.HashMap$EntrySet (java.base@16.0.2)
 225:            12           1536  com.google.common.cache.LocalCache
 226:            32           1536  org.apache.maven.model.RepositoryPolicy
 227:            38           1520  org.apache.maven.artifact.versioning.DefaultArtifactVersion
 228:            38           1520  org.eclipse.aether.internal.impl.collect.DataPool$GoodDescriptor
 229:            62           1488  org.eclipse.sisu.wire.BeanProviders$1
 230:            92           1472  java.util.WeakHashMap$KeySet (java.base@16.0.2)
 231:            61           1464  java.lang.module.ResolvedModule (java.base@16.0.2)
 232:            61           1464  jdk.internal.module.SystemModuleFinders$2 (java.base@16.0.2)
 233:            61           1464  jdk.internal.module.SystemModuleFinders$SystemModuleReader (java.base@16.0.2)
 234:            61           1464  org.eclipse.sisu.plexus.PlexusXmlMetadata
 235:            44           1440  [Lorg.eclipse.sisu.bean.PropertyBinding;
 236:            60           1440  java.util.zip.ZipFile$Source$Key (java.base@16.0.2)
 237:            30           1440  org.apache.maven.model.CiManagement
 238:            89           1424  com.google.inject.name.NamedImpl
 239:            25           1400  org.apache.maven.model.License
 240:            58           1392  java.lang.module.ModuleDescriptor$Provides (java.base@16.0.2)
 241:            87           1392  org.apache.maven.artifact.versioning.ComparableVersion$IntItem
 242:             1           1376  [Ljdk.internal.math.FDBigInteger; (java.base@16.0.2)
 243:            82           1312  [Ljava.security.Principal; (java.base@16.0.2)
 244:            82           1312  java.security.ProtectionDomain$Key (java.base@16.0.2)
 245:            54           1296  jdk.internal.loader.AbstractClassLoaderValue$Sub (java.base@16.0.2)
 246:            54           1296  sun.reflect.generics.factory.CoreReflectionFactory (java.base@16.0.2)
 247:            40           1280  jdk.internal.reflect.NativeMethodAccessorImpl (java.base@16.0.2)
 248:            80           1280  jdk.proxy2.$Proxy5 (jdk.proxy2)
 249:            80           1280  jdk.proxy2.$Proxy7 (jdk.proxy2)
